Section,Page,RelativePath,Status,ETA,Notes
Root,404,404.html,Pending,TBD,
Root,Home,index.html,Pending,TBD,
Website Root,Home,website/index.html,Pending,TBD,
Pages,AI Candidate Enrichment,website/pages/ai-candidate-enrichment.html,Pending,TBD,
Pages,AI,website/pages/ai-page.html,Pending,TBD,
Pages,AI Recommendations,website/pages/ai-recommendations.html,Pending,TBD,
Pages,Analytics,website/pages/analytics.html,Pending,TBD,
Pages,Applicant Tracking,website/pages/applicant-tracking.html,Pending,TBD,
Pages,Blog,website/pages/blog.html,Pending,TBD,
Pages,Book a Demo,website/pages/bookdemo.html,Pending,TBD,
Pages,Boost Recruitment,website/pages/boost-recruitment.html,Pending,TBD,
Pages,Branded Career,website/pages/branded-career.html,Pending,TBD,
Pages,Candidate Sourcing,website/pages/candidate-sourcing.html,Pending,TBD,
Pages,Collaboration,website/pages/collaboration.html,Pending,TBD,
Pages,Contact,website/pages/contact.html,Pending,TBD,
Pages,Customers,website/pages/customers.html,Pending,TBD,
Pages,Data Privacy,website/pages/data-privacy.html,Done,N/A,Content provided; appears complete
Pages,Demo,website/pages/demo.html,Pending,TBD,
Pages,Enhance Candidate Experience,website/pages/enhance-candidate-xp.html,Pending,TBD,
Pages,Executive Search,website/pages/executive-search.html,Pending,TBD,
Pages,FAQ (SEO Page),website/pages/faq-page.html,Pending,TBD,
Pages,FAQ,website/pages/faq.html,Pending,TBD,
Pages,Find Job,website/pages/find-job.html,Pending,TBD,
Pages,Freelance Recruiters,website/pages/freelance-recruiters.html,Pending,TBD,
Pages,High Volume Recruiting,website/pages/high-volume-recruiting.html,Pending,TBD,
Pages,Improve Employer Brand,website/pages/improve-emp.html,Pending,TBD,
Pages,Integrations,website/pages/integration.html,Pending,TBD,
Pages,Leverage AI,website/pages/leverage-ai.html,Pending,TBD,
Pages,Pricing,website/pages/pricing.html,Pending,TBD,
Pages,Recruitment Agencies,website/pages/recruitment-agencies.html,Pending,TBD,
Pages,Recruitment CRM,website/pages/recruitment-crm.html,Pending,TBD,
Pages,Security,website/pages/security.html,Pending,TBD,
Pages,Sign In,website/pages/signin.html,Pending,TBD,
Pages,Staffing Agencies,website/pages/staffing-agencies.html,Pending,TBD,
Pages,Support,website/pages/support.html,Pending,TBD,
Pages,Use Case: BPO,website/pages/use-case-bpo.html,Pending,TBD,
Pages,Use Case: Enterprise,website/pages/use-case-enterprise.html,Pending,TBD,
Pages,Use Case: High Volume,website/pages/use-case-high-volume.html,Pending,TBD,
Pages,Use Case: Startups,website/pages/use-case-startups.html,Pending,TBD,
Pages,Use Cases,website/pages/use-cases.html,Pending,TBD,
